2026-05-23 07:35:18,282 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HDFCLIFE]
2026-05-23 07:35:18,283 | INFO     | market_data.signals  | generate_signal | [HDFCLIFE] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,283 | INFO     | market_data.processor | process         | ✓ HDFCLIFE complete
2026-05-23 07:35:18,283 | INFO     | market_data.processor | process         | Progress: 34/97 (35.1%) - Current: HEBL
2026-05-23 07:35:18,283 | DEBUG    | market_data.transformation | transform       | Transforming HEBL
2026-05-23 07:35:18,283 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HEBL]
2026-05-23 07:35:18,283 | INFO     | market_data.signals  | generate_signal | [HEBL] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,283 | INFO     | market_data.processor | process         | ✓ HEBL complete
2026-05-23 07:35:18,283 | INFO     | market_data.processor | process         | Progress: 35/97 (36.1%) - Current: HINDCOPPER
2026-05-23 07:35:18,283 | DEBUG    | market_data.transformation | transform       | Transforming HINDCOPPER
2026-05-23 07:35:18,283 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HINDCOPPER]
2026-05-23 07:35:18,283 | INFO     | market_data.signals  | generate_signal | [HINDCOPPER] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,283 | INFO     | market_data.processor | process         | ✓ HINDCOPPER complete
2026-05-23 07:35:18,283 | INFO     | market_data.processor | process         | Progress: 36/97 (37.1%) - Current: HINDZINC
2026-05-23 07:35:18,283 | DEBUG    | market_data.transformation | transform       | Transforming HINDZINC
2026-05-23 07:35:18,283 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HINDZINC]
2026-05-23 07:35:18,284 | INFO     | market_data.signals  | generate_signal | [HINDZINC] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,284 | INFO     | market_data.processor | process         | ✓ HINDZINC complete
2026-05-23 07:35:18,284 | INFO     | market_data.processor | process         | Progress: 37/97 (38.1%) - Current: HIRECT
2026-05-23 07:35:18,284 | DEBUG    | market_data.transformation | transform       | Transforming HIRECT
2026-05-23 07:35:18,284 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HIRECT]
2026-05-23 07:35:18,284 | INFO     | market_data.signals  | generate_signal | [HIRECT] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,284 | WARNING  | market_data.rejections | reject          | [FIELD] HIRECT:ratios.debtToEquity (balance) - D/E ratio outside bounds (0-100): 118.871
2026-05-23 07:35:18,284 | INFO     | market_data.processor | process         | ✓ HIRECT complete
2026-05-23 07:35:18,284 | INFO     | market_data.processor | process         | Progress: 38/97 (39.2%) - Current: ICICIBANK
2026-05-23 07:35:18,284 | DEBUG    | market_data.transformation | transform       | Transforming ICICIBANK
2026-05-23 07:35:18,284 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [ICICIBANK]
2026-05-23 07:35:18,284 | INFO     | market_data.signals  | generate_signal | [ICICIBANK] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,284 | INFO     | market_data.processor | process         | ✓ ICICIBANK complete
2026-05-23 07:35:18,284 | INFO     | market_data.processor | process         | Progress: 39/97 (40.2%) - Current: IDEAFORGE
2026-05-23 07:35:18,284 | DEBUG    | market_data.transformation | transform       | Transforming IDEAFORGE
2026-05-23 07:35:18,285 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [IDEAFORGE]
2026-05-23 07:35:18,285 | INFO     | market_data.signals  | generate_signal | [IDEAFORGE] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,285 | INFO     | market_data.processor | process         | ✓ IDEAFORGE complete
2026-05-23 07:35:18,285 | INFO     | market_data.processor | process         | Progress: 40/97 (41.2%) - Current: IDFCFIRSTB
2026-05-23 07:35:18,285 | DEBUG    | market_data.transformation | transform       | Transforming IDFCFIRSTB
2026-05-23 07:35:18,285 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [IDFCFIRSTB]
2026-05-23 07:35:18,285 | INFO     | market_data.signals  | generate_signal | [IDFCFIRSTB] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,285 | INFO     | market_data.processor | process         | ✓ IDFCFIRSTB complete
2026-05-23 07:35:18,285 | INFO     | market_data.processor | process         | Progress: 41/97 (42.3%) - Current: IGIL
2026-05-23 07:35:18,285 | DEBUG    | market_data.transformation | transform       | Transforming IGIL
2026-05-23 07:35:18,285 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [IGIL]
2026-05-23 07:35:18,285 | INFO     | market_data.signals  | generate_signal | [IGIL] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,285 | INFO     | market_data.processor | process         | ✓ IGIL complete
2026-05-23 07:35:18,285 | INFO     | market_data.processor | process         | Progress: 42/97 (43.3%) - Current: INDIANB
