2026-05-17 02:00:10 | STEP1-FETCH | INFO     |   [CapEx Screener] ICICIBANK: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:11 | STEP1-FETCH | INFO     |   [CapEx Screener] IDEAFORGE: trying https://www.screener.in/api/v2/companies/ideaforge/financials/cash-flow/
2026-05-17 02:00:11 | STEP1-FETCH | INFO     |   [CapEx Screener] IDEAFORGE: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:12 | STEP1-FETCH | INFO     |   [CapEx Screener] IDFCFIRSTB: trying https://www.screener.in/api/v2/companies/idfcfirstb/financials/cash-flow/
2026-05-17 02:00:12 | STEP1-FETCH | INFO     |   [CapEx Screener] IDFCFIRSTB: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:13 | STEP1-FETCH | INFO     |   Progress: 40/99...
2026-05-17 02:00:14 | STEP1-FETCH | INFO     |   [CapEx Screener] INDIANB: trying https://www.screener.in/api/v2/companies/indianb/financials/cash-flow/
2026-05-17 02:00:14 | STEP1-FETCH | INFO     |   [CapEx Screener] INDIANB: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:15 | STEP1-FETCH | INFO     |   [CapEx Screener] INDOTECH: trying https://www.screener.in/api/v2/companies/indotech/financials/cash-flow/
2026-05-17 02:00:16 | STEP1-FETCH | INFO     |   [CapEx Screener] INDOTECH: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:17 | STEP1-FETCH | INFO     |   [CapEx Screener] INOXINDIA: trying https://www.screener.in/api/v2/companies/inoxindia/financials/cash-flow/
2026-05-17 02:00:18 | STEP1-FETCH | INFO     |   [CapEx Screener] INOXINDIA: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:18 | STEP1-FETCH | INFO     |   [CapEx Screener] INTERARCH: trying https://www.screener.in/api/v2/companies/interarch/financials/cash-flow/
2026-05-17 02:00:19 | STEP1-FETCH | INFO     |   [CapEx Screener] INTERARCH: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:20 | STEP1-FETCH | INFO     |   [CapEx Screener] IOC: trying https://www.screener.in/api/v2/companies/ioc/financials/cash-flow/
2026-05-17 02:00:20 | STEP1-FETCH | INFO     |   [CapEx Screener] IOC: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:21 | STEP1-FETCH | INFO     |   [CapEx Screener] ITC: trying https://www.screener.in/api/v2/companies/itc/financials/cash-flow/
2026-05-17 02:00:21 | STEP1-FETCH | INFO     |   [CapEx Screener] ITC: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:22 | STEP1-FETCH | INFO     |   [CapEx Screener] JUNIORBEES: trying https://www.screener.in/api/v2/companies/juniorbees/financials/cash-flow/
2026-05-17 02:00:23 | STEP1-FETCH | INFO     |   [CapEx Screener] JUNIORBEES: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:23 | STEP1-FETCH | INFO     |   [CapEx Screener] JYOTHYLAB: trying https://www.screener.in/api/v2/companies/jyothylab/financials/cash-flow/
2026-05-17 02:00:24 | STEP1-FETCH | INFO     |   [CapEx Screener] JYOTHYLAB: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:24 | STEP1-FETCH | INFO     |   [CapEx Screener] KAYNES: trying https://www.screener.in/api/v2/companies/kaynes/financials/cash-flow/
2026-05-17 02:00:25 | STEP1-FETCH | INFO     |   [CapEx Screener] KAYNES: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:26 | STEP1-FETCH | INFO     |   [CapEx Screener] KEI: trying https://www.screener.in/api/v2/companies/kei/financials/cash-flow/
2026-05-17 02:00:26 | STEP1-FETCH | INFO     |   [CapEx Screener] KEI: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:27 | STEP1-FETCH | INFO     |   [CapEx Screener] KPENERGY: trying https://www.screener.in/api/v2/companies/kpel/financials/cash-flow/
2026-05-17 02:00:28 | STEP1-FETCH | INFO     |   [CapEx Screener] KPENERGY: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:28 | STEP1-FETCH | INFO     |   [CapEx Screener] KPPL: trying https://www.screener.in/api/v2/companies/kpl/financials/cash-flow/
2026-05-17 02:00:29 | STEP1-FETCH | INFO     |   [CapEx Screener] KPPL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:29 | STEP1-FETCH | INFO     |   [CapEx Screener] MAHABANK: trying https://www.screener.in/api/v2/companies/mahabank/financials/cash-flow/
2026-05-17 02:00:30 | STEP1-FETCH | INFO     |   [CapEx Screener] MAHABANK: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:31 | STEP1-FETCH | INFO     |   [CapEx Screener] MAITHANALL: trying https://www.screener.in/api/v2/companies/maithanall/financials/cash-flow/
2026-05-17 02:00:31 | STEP1-FETCH | INFO     |   [CapEx Screener] MAITHANALL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:32 | STEP1-FETCH | INFO     |   [CapEx Screener] MAPMYINDIA: trying https://www.screener.in/api/v2/companies/mapmyindia/financials/cash-flow/
2026-05-17 02:00:33 | STEP1-FETCH | INFO     |   [CapEx Screener] MAPMYINDIA: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:33 | STEP1-FETCH | INFO     |   [CapEx Screener] MARKSANS: trying https://www.screener.in/api/v2/companies/marksans/financials/cash-flow/
2026-05-17 02:00:34 | STEP1-FETCH | INFO     |   [CapEx Screener] MARKSANS: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:35 | STEP1-FETCH | INFO     |   Progress: 60/99...
2026-05-17 02:00:35 | STEP1-FETCH | INFO     |   [CapEx Screener] MCDOWELL-N: trying https://www.screener.in/api/v2/companies/unitdspr/financials/cash-flow/
2026-05-17 02:00:36 | STEP1-FETCH | INFO     |   [CapEx Screener] MCDOWELL-N: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:36 | STEP1-FETCH | INFO     |   [CapEx Screener] NCC: trying https://www.screener.in/api/v2/companies/ncc/financials/cash-flow/
2026-05-17 02:00:37 | STEP1-FETCH | INFO     |   [CapEx Screener] NCC: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:38 | STEP1-FETCH | INFO     |   [CapEx Screener] NETWEB: trying https://www.screener.in/api/v2/companies/netweb/financials/cash-flow/
2026-05-17 02:00:38 | STEP1-FETCH | INFO     |   [CapEx Screener] NETWEB: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:39 | STEP1-FETCH | INFO     |   [CapEx Screener] NIFTYBEES: trying https://www.screener.in/api/v2/companies/niftybees/financials/cash-flow/
2026-05-17 02:00:39 | STEP1-FETCH | INFO     |   [CapEx Screener] NIFTYBEES: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:40 | STEP1-FETCH | INFO     |   [CapEx Screener] OIL: trying https://www.screener.in/api/v2/companies/oil/financials/cash-flow/
2026-05-17 02:00:41 | STEP1-FETCH | INFO     |   [CapEx Screener] OIL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:41 | STEP1-FETCH | INFO     |   [CapEx Screener] PFC: trying https://www.screener.in/api/v2/companies/pfc/financials/cash-flow/
